Campus,Researcher Name,School,Department,Fund,Year Received,Date Received,Title,Total Award,Detailed Sponsor Name,Agency,Category
UCI,"Parker, William",UCI Admin,RGS,21674,2002,37274,NSF ANIR Workshop on Experimental Infostructure Networks,32108,,NSF,Admin
UCI,"Goodrich, Michael",BICS,CS,26411,2002,37282,The OptIPuter,900000,,NSF,Admin
UCI,"Mehrotra, Sharad",BICS,CS,26407,2003,37622,ITR: Collaborative Research: Responding to the Unexpected,9318956,,NSF,Admin
UCI,"Recker, Wilfred",HSSOE,CEE,21790,2003,37629,NSF/USDOT AutoNet,96373,,NSF,Admin
UCI,"Mehrotra, Sharad",BICS,CS,25966,2004,37987,Integration and Analysis of Multi-Source Data,118528,,DOD,Admin
UCI,"Feng, Maria",HSSOE,CEE,n/a,2004,37990,Instrumentation of Calit2 Building,100000,,DOI,Admin
UCI,"Kuester, Falko",HSSOE,EECS,21870,2004,37997,HiPerWall: Development of a High-Performance Visualization System for Collaborative Earth System Sciences,393533,,NSF,Admin
UCI,"Yee, Albert F",HSSOE,ChemE,21915,2005,38361,Acquisition of Instruments to Establish a Capability in Nanoimprinting of New Materials,380000,,NSF,Admin
UCI,"Dourish, J Paul",BICS,Inf,21933,2005,38362,"HSD/AOC:  Privacy, Identity, and Technology",749943,,NSF,Admin
UCI,"Mehrotra, Sharad",BICS,CS,26407,2005,38363,"Supplemental Request to Develop a ""Disaster Portal""  (Supplement to #0331707)", $- ,,NSF,Admin
UCI,"Mehrotra, Sharad",BICS,CS,0,2005,38364,NSF Cyber Trust PI Workshop 2005     (Supplement to #0331707), $- ,,NSF,Admin
UCI,"Butts, Carter",Social Sci,Sociol,21958,2006,38719,SGER: Collaborative Research: Mapping & Analyzing Emergent Multiorganizational Networks in the Hurricane Katrina Response,69372,,NSF,Admin
UCI,"Lopes, Cristina",ICS,Informatics,21202,,39326,SDCI Data New: Trust Management For Open Collaborative Information Repositories,1103590,,NSF,Admin
UCI,"Yee, Albert",Engineering ,Calit2,21204,,39326,Mechanical Properties And Their Time-Temperature Dependence In Fabricated Polymeric Nanostructures     ,250000,,NSF,Admin
UCI,"Brouillette, Liane",Education,Education,18212,,39356,Arts Core K-2,863318,,Dept of Education,Admin
UCI,"Frost, Daniel",ICS,CompSci,21232,,39479,BPC-DP: American Indian Summer Institute in Computer Science: Linking Native Culture to Computer Game Culture,599723,,NSF,Admin
UCI,"Markopoulou, Athina",Engineering ,EECS,21228,,39479,CAREER:  Network Coding Mechanisms for the Internet,449795,,NSF,Admin
UCI,"Mehrotra, Sharad",ICS,CompSci,24911,,39596,SAFIRE:  Situational Awareness for Firefighters,999971,,DHS,Admin
UCI,"Markopoulou, Athina",Engineering ,EECS,21277,,39692,CT-ISG: I-BLOCK: Understanding and Filitering of Malicious IP Traffic,399847,,NSF,Admin
UCI,"Scacchi, Walt",ICS,ISR,21301,,39692,HCC-Large: Decentralized Virtual Activities and Technologies: A Socio-Technical Approach,2997936,,NSF,Admin
UCI,"Markopoulou, Athina",Engineering ,EECS,78789,,39965,Information Dynamics as the Foundation for Network Management,598207,,DOD,Admin
UCI,"Markopoulou, athina",Engineering ,EECS,21488,,40057,Student Travel Support for the SIGCOMM '09 Conference,24825,,NSF,Admin
UCI,"Mehrotra, Sharad",ICS,CompSci,26407,,40057,Supplement to Project ResCUE,150000,,NSF,Admin
UCI,"Dourish, Paul",ICS,Informatics,21498,,40071,HCC: Small: From Local Ties to Transnational Connections: The Role of Computer-mediated Communication in Relational Maintenance,499999,,NSF,Admin
