Make,Model,Manufacturer,Type,Action,Class,Calibre,Shots,Barrel,Reg_date,Client,Pcode,Prov,Country,Lost,Stolen,Recovered,lossstolen_year
Winchester                                                        ,94,Winchester                                                        ,Non-restricted,Lever Action,Rifle,30-30 WIN                     ,6,508,99-04-23,Business,E3,NB,Canada,,,"
",
Remington                                                         ,700,Remington,Non-restricted,Bolt Action,Rifle,30-06 SPRG                    ,4,559,00-04-29,Individual,A2,NF,Canada,,,"
",
Smith & Wesson,41,Smith & Wesson,Restricted,Semi-Automatic,Handgun,22 LR                         ,10,140,99-06-18,Business,N7,ON,Canada,,,"
",
Magtech,151,Companhia Brasileira de Cartuchos (CBC),Non-restricted,Single Shot,Shotgun,"12 GA X 3""",1,762,01-11-08,Individual,G8,QC,Canada,,,"
",
Remington,742 woodmaster,,Non-restricted,Other,Rifle,308 calibre,Multi-shots,> 470mm,02-12-26,Individual,L9,ON,Canada,,,"
",
Remington,121 Fieldmaster,,Non-restricted,Pump Action,Rifle,22,Multi-shots,> 470mm,02-12-26,Individual,L9,ON,Canada,,,"
",
Lee-Enfield,British,,Non-restricted,Bolt Action,Rifle,.303 cal,1,> 470mm,02-12-26,Individual,S3,SK,Canada,,,"
",
Cooey,60,,Non-restricted,Bolt Action,Rifle,.22 calibre,Multi-shots,> 470mm,02-12-26,Individual,R1,MB,Canada,,,"
",
Lee-Enfield,,,Non-restricted,Bolt Action,Rifle,303,Multi-shots,> 470mm,02-12-26,Individual,S3,SK,Canada,,,"
",
Iver Johnson,unknow,,Non-restricted,Hinge Break,Shotgun,12  gauge,1,> 470mm,02-12-26,Individual,N0,ON,Canada,,,"
",
Mossberg,185 D,,Non-restricted,Bolt Action,Shotgun,20,Multi-shots,> 470mm,02-12-26,Individual,J0,QC,Canada,,,"
",
Browning,BAR,,Non-restricted,Semi-Automatic,Rifle,0.3006,Multi-shots,> 470mm,02-12-26,Individual,K0,ON,Canada,,,"
",
CIL,171,,Non-restricted,Bolt Action,Rifle,22,Multi-shots,> 470mm,02-12-26,Individual,R0,MB,Canada,,,"
",
Ruger,M77,,Non-restricted,Bolt Action,Rifle,270,Multi-shots,> 470mm,02-12-26,Individual,R0,MB,Canada,,,"
",
Ruger,Model 1,,Non-restricted,Other,Rifle,25-Jun,1,> 470mm,02-12-26,Individual,S0,SK,Canada,,,"
",
