"Mainstream National Schools 2009-2010 School Year.",,,,,,,,
"Schools in red have since closed",,,"Enrolment as on 30th September 2009",,,,,
"COUNTY","Roll No.","SCHOOL","ADDRESS 1","ADDRESS 2","TEL. NO.","GIRLS","BOYS","TOTAL"
"CARLOW","00651R","BORRIS MXD N S","BORRIS","CO CARLOW",599773402,101,107,208
"CARLOW","00977B","BALLYCONNELL N S","Ballyconnell","Tullow",599156226,83,74,157
"CARLOW","01116A","BAILE AN CHUILINN N S","MUINEBEAG","CO CARLOW",599775153,46,63,109
"CARLOW","01215C","NEWTOWN DUNLECKNEY MXD","MUINEBEAG","CO CARLOW",599727299,61,54,115
"CARLOW","01415K","RATHOE NS","RATHOE","CO CARLOW",599148786,76,83,159
"CARLOW","02124E","SCOIL NAIS MOLAISE","OLD LEIGHLIN","VIA BILBOA",599722166,81,65,146
"CARLOW","04077I","SCOIL NAIS BHRIDE","GRANGE","TULLOW",599163881,34,52,86
"CARLOW","09320Q","SCOIL NAIS MHUIRE","DROIMFEIGH","BAGENALSTOWN",599727316,39,48,87
"CARLOW","11135K","ST MARYS N S","MUINEBEAG","CO CARLOW",599721021,42,39,81
"CARLOW","13105L","ST BRIDGETS MONASTERY","MUINEBEAG","CO CARLOW",599721984,0,126,126
"CARLOW","13507I","S N MUIRE LOURDES","TULLOW","CO CARLOW",599151875,217,0,217
"CARLOW","13607M","ST COLUMBAS N S","TULLOW","CO CARLOW",599151873,36,30,66
"CARLOW","14837L","S N PEADAR AGUS POL","BALLON","CO CARLOW",599159280,99,113,212
"CARLOW","16080N","S N PHADRAIG NAOFA","PATRICIAN BROTHERS","TULLOW",599151625,0,232,232
"CARLOW","16938E","FR CULLEN MEMORIAL N S","TINRYLAND","CO CARLOW",599132156,82,84,166
"CARLOW","17053P","BISHOP FOLEY MEMORIAL SCHOOL","Station Road","Co Carlow",599142919,0,281,281
"CARLOW","17096K","S N NMH FHINGIN","GARRYHILL","MUINEBHEAG",599727355,16,12,28
"CARLOW","17127S","ST JOSEPHS NS","HACKETSTOWN","CO CARLOW",596471199,51,71,122
"CARLOW","17330P","SCOIL N MOLING-GLYNN","ST MULLINS","KILKENNY",51424892,32,28,60
"CARLOW","17462J","SCOIL NAIS MHICHIL","BAILE NUA","BORRIS",599724499,18,18,36
"CARLOW","17481N","ST BRENDANS N S","DRUMMOND","ST MULLINS",51424744,6,22,28
"CARLOW","17501Q","Bennekerry National School","Bennekerry","Co Carlow",599143495,162,147,309
"CARLOW","17514C","S N CLUAIN NA GALL","CLONEGAL","ENNISCORTHY",539377513,52,57,109
"CARLOW","17663T","ST PATRICKS N S","RATHVILLY","CO CARLOW",599161304,108,107,215
"CARLOW","17669I","S N TREASA NAOMHA","CILL TEAGAIN","CO CILLE MANNTAIN",596473210,30,22,52
"CARLOW","17756D","BALLINABRANNA MXD N S","MILFORD","CO CARLOW",599146253,72,76,148
"CARLOW","17796P","Our Lady's National School","Nurney","Carlow",599146297,19,18,37
"CARLOW","17994T","S N FHOIRTCHEIRN/FHININ","MIDHISEAL","CO CEATHARLACH",599157750,60,50,110
"CARLOW","18024N","SCOIL MUIRE GAN SMAL","ARD AITINN","CO CEATHARLACH",599155649,32,36,68
"CARLOW","18090D","S N CILL DAMHAIN","CILL DAMHAIN","INIS CORTHAIGH",539376456,58,41,99
"CARLOW","18183K","QUEEN OF UNIVERSE N S","MUINEBHEAG","CO CARLOW",599721075,170,66,236
"CARLOW","18363M","S N MUIRE GAN SMAL","GREEN LANE","CARLOW",599142705,442,0,442
"CARLOW","18424G","SCOIL NAIS IOSEF NAOFA","CARLOW","CO CARLOW",599142502,0,179,179
"CARLOW","18510W","St Patrick's National School","Ballymurphy","Borris",599773512,25,21,46
"CARLOW","18609S","S N FIONTAIN NAOFA","RATHMORE","TULLOW",599161375,16,18,34
"CARLOW","18615N","S N CEATHARLACH","GREEN ROAD","CARLOW",599132175,64,68,132
"CARLOW","19477J","HOLY FAMILY B N S","ASKEA","CARLOW",599142772,0,365,365
"CARLOW","19478L","Holy Family Girls N S","ASKEA","CARLOW",599142343,396,0,396
"CARLOW","19784S","ST LASERIANS MXD NS","LEIGHLINBRIDGE","CO CARLOW",599721796,87,102,189
"CARLOW","19811S","S N EOGHAN UI THUAIRISC","BOTHAR PHOLLERTON","CARLOW",599131634,225,246,471
"CARLOW","19958C","S.N. NAOMH FHIACH","GRAIGUECULLEN","CO CARLOW",599132444,245,276,521
"CAVAN","01356U","KILNALECK MIXED N S","KILNALECK","CO CAVAN",494336728,43,33,76
